"","zipcode","Date","PROPERTY.TYPE","ADDRESS","CITY","ZIP","ZIP.OR.POSTAL.CODE","PRICE","BEDS","BATHS","SQUARE.FEET","LOT.SIZE","YEAR.BUILT","DAYS.ON.MARKET","LATITUDE","LONGITUDE","Age","Num_Landfill","hospital_bed","School_Rank"
"5939",90059,"10/17/2019","Single Family Residential","1421 E 122nd Pl","Los Angeles","CA",90059,446200,3,2,1312,6003,1946,210,33.9215222,-118.2493445,74,1,0,9
"5940",90059,"4/1/2019","Single Family Residential","1437 E 122nd Pl","Los Angeles","CA",90059,455300,3,2,1567,6004,1946,409,33.9215413,-118.2488649,74,1,0,9
"5941",90059,"4/2/2019","Single Family Residential","1628 E 123rd St","Los Angeles","CA",90059,489400,3,2,1380,5708,1945,408,33.9206571,-118.2451473,75,1,0,9
"5942",90059,"3/31/2020","Single Family Residential","1655 E 122nd St","Los Angeles","CA",90059,530000,3,2,1348,6287,1946,44,33.9219006,-118.2442934,74,1,0,9
"5943",90059,"11/8/2019","Single Family Residential","12202 Grandee Ave","Los Angeles","CA",90059,464000,3,1,1021,6701,1945,188,33.9214999,-118.242726,75,1,0,9
"5944",90059,"1/23/2018","Single Family Residential","1822 E 109th St","Los Angeles","CA",90059,379700,3,2,840,5091,1923,842,33.936919,-118.2399859,97,1,0,9
"5945",90059,"8/28/2018","Single Family Residential","1814 E 109th St","Los Angeles","CA",90059,347800,3,1,720,3393,1922,625,33.9369463,-118.2402806,98,1,0,9
"5946",90059,"2/20/2019","Single Family Residential","651 E 109th Pl","Los Angeles","CA",90059,259200,3,1,980,4862,1952,449,33.9366794,-118.2633746,68,1,0,9
"5947",90059,"1/24/2019","Single Family Residential","627 E 109th Pl","Los Angeles","CA",90059,359400,3,1,1056,4862,1969,476,33.9366864,-118.2641511,51,1,0,9
"5948",90059,"2/5/2019","Single Family Residential","643 E 109th Pl","Los Angeles","CA",90059,312800,3,2,1070,4862,1930,464,33.9366512,-118.2636486,90,1,0,9
"5949",90059,"5/5/2020","Single Family Residential","11415 Grape St","Los Angeles","CA",90059,410000,3,1,1459,5500,1911,9,33.9308209,-118.2365127,109,1,0,9
"5950",90059,"8/16/2018","Single Family Residential","11113 Monitor Ave","Los Angeles","CA",90059,456900,3,1,1024,6472,1952,637,33.9343742,-118.2414011,68,1,0,9
"5951",90059,"2/12/2018","Single Family Residential","907 E 111th Dr","Los Angeles","CA",90059,395200,3,2,1124,3600,1988,822,33.9338946,-118.258304,32,1,0,9
"5952",90059,"6/5/2018","Single Family Residential","920 E 112th St","Los Angeles","CA",90059,433700,3,2,1625,3876,1989,709,33.932537,-118.2578015,31,1,0,9
"5953",90059,"4/24/2018","Single Family Residential","1622 E 112th St","Los Angeles","CA",90059,381400,3,1,1038,6814,1944,751,33.9328416,-118.2454671,76,1,0,9
"5954",90059,"4/30/2018","Single Family Residential","1638 E 112th St","Los Angeles","CA",90059,417900,3,3,1482,3409,1981,745,33.9328106,-118.2449075,39,1,0,9
"5955",90059,"10/3/2018","Single Family Residential","1656 E 112th St","Los Angeles","CA",90059,386000,3,1,1003,6827,1945,589,33.9328447,-118.2440052,75,1,0,9
"5956",90059,"6/7/2018","Single Family Residential","1631 E 113th St","Los Angeles","CA",90059,250800,3,1,1134,5685,1955,707,33.9323314,-118.2451016,65,1,0,9
"5957",90059,"8/9/2018","Single Family Residential","11151 Compton Ave","Los Angeles","CA",90059,390600,3,2,1026,4670,2015,644,33.9333189,-118.2466092,5,1,0,9
"5958",90059,"2/27/2019","Single Family Residential","1655 E 112th St","Los Angeles","CA",90059,425000,3,2,1242,5398,1941,442,33.9332401,-118.2441879,79,1,0,9
"5959",90059,"6/22/2017","Single Family Residential","1778 E 112th St","Los Angeles","CA",90059,374700,3,3,1230,3427,1955,1057,33.9327939,-118.2413098,65,1,0,9
"5960",90059,"8/31/2017","Single Family Residential","1776 E 108th St","Los Angeles","CA",90059,363600,3,1,900,6255,1924,987,33.9377368,-118.2409725,96,1,0,9
"5961",90059,"5/9/2018","Single Family Residential","1553 E 111th St","Los Angeles","CA",90059,396900,3,2,1446,3127,1954,736,33.9350561,-118.2472374,66,1,0,9
