"ZIP","Date","PROPERTY.TYPE","ADDRESS","CITY","STATE","PRICE","BEDS","BATHS","SQUARE.FEET","LOT.SIZE","LATITUDE","LONGITUDE","Age","ORIGINAL_PRC","numCrimes","LONG_LAT","SQ_LOT","knn14Pred","Error","Pct_Error","AbsPct_Err","UpperCI","LowerCI"
90002,"2020-04-08","Single Family Residential","1263 E 88th Pl","Los Angeles","CA",305000,2,1,816,5046,33.9566945,-118.2518629,94,305000,0,-4015.44238255118,4117536,380785.714285714,75785.7142857143,0.24847775175644,0.24847775175644,466983.32735658,335558.414235921
90002,"2020-04-20","Single Family Residential","9601 Holmes.  1/2 Ave","Los Angeles","CA",373500,2,1,572,2050,33.9489873,-118.2409329,92,373500,0,-4014.15992936225,1172600,332521.428571429,-40978.5714285714,-0.109715050678906,0.109715050678906,407793.562904349,293026.652746667
90002,"2020-02-21","Single Family Residential","846 E 97th St","Los Angeles","CA",375000,2,1,880,4801,33.9481858,-118.2592191,93,375000,0,-4014.68594256971,4224880,383292.857142857,8292.85714285716,0.0221142857142858,0.0221142857142858,470058.006551893,337767.77464479
90002,"2020-02-12","Single Family Residential","10106 Courtney St","Los Angeles","CA",450000,2,1,1084,6144,33.944742,-118.2478884,68,450000,0,-4013.89406378279,6660096,357271.428571429,-92728.5714285714,-0.206063492063492,0.206063492063492,438146.165217059,314837.005500887
90002,"2020-05-05","Single Family Residential","624 E 97th St","Los Angeles","CA",450000,2,1,1103,4801,33.9481343,-118.2641968,102,450000,0,-4014.84883584803,5295503,383350,-66650,-0.148111111111111,0.148111111111111,470128.084710191,337818.130437585
90002,"2020-04-03","Single Family Residential","10346 Kalmia","Los Angeles","CA",350000,2,2,775,3250,33.9418025,-118.2314756,83,350000,0,-4012.98939409877,2518750,389664.285714286,39664.2857142857,0.113326530612245,0.113326530612245,477871.721202091,343382.445541403
90002,"2020-05-07","Single Family Residential","726 E 87th Pl","Los Angeles","CA",360000,2,1,994,5277,33.958124,-118.2620498,99,360000,0,-4015.95735160257,5245338,370735.714285714,10735.7142857143,0.0298214285714284,0.0298214285714284,454658.331265964,326702.089178147
90002,"2020-03-12","Single Family Residential","929 E 90th St","Los Angeles","CA",435000,2,1,1003,5044,33.9549008,-118.2576188,64,435000,0,-4015.42571519821,5059132,360771.428571429,-74228.5714285714,-0.17064039408867,0.17064039408867,442438.452412796,317921.297809565
90002,"2020-04-02","Single Family Residential","759 E 90th St","Los Angeles","CA",380000,2,1,936,3803,33.9549116,-118.2609535,96,380000,0,-4015.54022182421,3559608,373607.142857143,-6392.85714285716,-0.0168233082706767,0.0168233082706767,458179.758720426,329232.467766082
90002,"2020-04-30","Single Family Residential","903 E 98th St","Los Angeles","CA",405000,2,1,736,4744,33.9477256,-118.2584554,95,405000,0,-4014.60559379904,3491584,352364.285714286,-52635.7142857143,-0.129964726631393,0.129964726631393,432128.20337324,310512.701794639
90002,"2020-02-19","Single Family Residential","1736 E 106th St","Los Angeles","CA",334000,3,2,858,3126,33.9396642,-118.2414011,99,334000,0,-4013.07344787151,2682108,382771.428571429,48771.4285714286,0.146022241231822,0.146022241231822,469418.543357426,337308.278035538
90002,"2020-02-13","Single Family Residential","8620 Compton Ave","Los Angeles","CA",4e+05,3,1,1006,5201,33.9595481,-118.2468377,65,400000,0,-4015.60917254604,5232206,394242.857142857,-5757.14285714284,-0.0143928571428571,0.0143928571428571,483486.733635698,347417.203439081
90002,"2020-05-08","Single Family Residential","8725 John Ave","Los Angeles","CA",495900,3,2,1188,4781,33.9583558,-118.2492132,79,495900,0,-4015.54885491566,5679828,431721.428571429,-64178.5714285714,-0.129418373520007,0.129418373520007,529449.24570923,380444.309038329
90002,"2020-03-08","Single Family Residential","9706 Antwerp St","Los Angeles","CA",370000,3,1,840,3496,33.9481668,-118.2479071,95,370000,0,-4014.2996739817,2936640,382171.428571429,12171.4285714286,0.032895752895753,0.032895752895753,468682.7226953,336779.542211194
90002,"2020-03-04","Single Family Residential","1714 E 107th St","Los Angeles","CA",375000,3,1,1000,3247,33.9384449,-118.2422349,61,375000,0,-4012.95757400651,3247000,360542.857142857,-14457.1428571428,-0.0385523809523809,0.0385523809523809,442158.139779605,317719.874638386
90002,"2020-03-06","Single Family Residential","931 E 91st St","Los Angeles","CA",450000,3,2,936,3025,33.9540777,-118.2574247,72,450000,0,-4015.3217868657,2831400,418364.285714286,-31635.7142857143,-0.0703015873015872,0.0703015873015872,513068.476207133,368673.642472559
90002,"2020-02-10","Single Family Residential","1222 E 92nd St","Los Angeles","CA",360000,3,2,1166,4596,33.9531056,-118.253146,79,360000,0,-4015.06155367022,5358936,435157.142857143,75157.1428571428,0.208769841269841,0.208769841269841,533662.694976881,383471.951080112
90002,"2020-03-18","Single Family Residential","641 E 91st St","Los Angeles","CA",510000,3,1,1120,4788,33.9540287,-118.2636943,103,510000,0,-4015.52887043023,5362560,404085.714285714,-105914.285714286,-0.207675070028011,0.207675070028011,495557.696402484,356090.988747975
90002,"2020-03-23","Single Family Residential","9536 Graham Ave","Los Angeles","CA",405000,3,2,948,3326,33.9495708,-118.2427819,111,405000,0,-4014.29169570301,3153048,403885.714285714,-1114.28571428574,-0.00275132275132284,0.00275132275132284,495312.422848442,355914.743473193
90002,"2020-02-21","Single Family Residential","831 E 94th St","Los Angeles","CA",495000,3,2,1633,5025,33.9514122,-118.259748,73,495000,0,-4015.08545101613,8205825,451650,-43350,-0.0875757575757575,0.0875757575757575,553889.003415567,398005.891775493
90002,"2020-04-02","Single Family Residential","10624 Kalmia Ave","Los Angeles","CA",445000,3,2,1330,3279,33.9390516,-118.2314985,30,445000,0,-4012.66492833682,4361070,385328.571428571,-59671.4285714286,-0.134093097913323,0.134093097913323,472554.54094125,339561.699763103
90002,"2020-03-25","Single Family Residential","10330 Weigand Ave","Los Angeles","CA",470000,3,2,1300,2700,33.9422361,-118.2293615,0,470000,0,-4012.96890198525,3510000,423900,-46100,-0.0980851063829787,0.0980851063829787,519857.297792226,373551.859899549
90002,"2020-02-21","Single Family Residential","8814 S Fir Ave","Los Angeles","CA",450000,3,2,1428,10710,33.9564035,-118.237134,26,450000,0,-4014.90783078757,15293880,413364.285714286,-36635.7142857143,-0.0814126984126984,0.0814126984126984,506936.63735608,364267.51060302
90002,"2020-02-26","Single Family Residential","9223 Juniper St","Los Angeles","CA",4e+05,3,2,1159,3376,33.9524529,-118.2331938,29,400000,0,-4014.30694371107,3912784,387435.714285714,-12564.2857142857,-0.0314107142857144,0.0314107142857144,475138.673028479,341418.569622409
90002,"2020-03-27","Single Family Residential","2204 E 105th St","Los Angeles","CA",445000,3,2,1542,3249,33.9403866,-118.2325612,38,445000,0,-4012.85883583616,5009958,415500,-29500,-0.0662921348314607,0.0662921348314607,509555.808522458,366149.558358723
90002,"2020-02-21","Single Family Residential","9323 Parmelee Ave","Los Angeles","CA",415000,3,1.75,938,4804,33.9515234,-118.2502639,93,415000,0,-4014.77660185703,4506152,408092.857142857,-6907.14285714284,-0.0166437177280551,0.0166437177280551,500471.927253113,359622.188717706
90002,"2020-02-12","Single Family Residential","1370 94TH St E","Los Angeles","CA",435000,3,1,1134,5352,33.9511227,-118.2502639,88,435000,0,-4014.72921897628,6069168,409828.571428571,-25171.4285714286,-0.0578653530377669,0.0578653530377669,502600.551311407,361151.745923846
90002,"2020-03-11","Single Family Residential","8619 Prince Ave","Los Angeles","CA",499900,3,2,1672,5279,33.959497,-118.2484115,90,499900,0,-4015.65657558902,8826488,446500,-53400,-0.106821364272855,0.106821364272855,547573.209398983,393467.575949867
90002,"2020-03-06","Single Family Residential","10323 Grape St","Los Angeles","CA",424000,3,2,1482,3249,33.9423839,-118.2371328,39,424000,0,-4013.25015273288,4815018,413707.142857143,-10292.8571428572,-0.0242756064690027,0.0242756064690027,507357.106305866,364569.645359788
90002,"2020-04-07","Single Family Residential","932 E 91st St","Los Angeles","CA",450000,3,1,1039,5338,33.9535841,-118.2574361,63,450000,0,-4015.26380207173,5546182,391871.428571429,-58128.5714285714,-0.129174603174603,0.129174603174603,480578.490066342,345327.4380381
90002,"2020-03-26","Single Family Residential","1321 E 99th St","Los Angeles","CA",495000,4,2,1380,7301,33.9471451,-118.2506294,79,495000,0,-4014.27127440813,10075380,455935.714285714,-39064.2857142857,-0.0789177489177489,0.0789177489177489,559144.865287898,401782.576235098
